seq,frame_id,roll_deg,pitch_deg,height_m
pohang00,5800,0.3,2.6,3.5
pohang00,5900,-0.1,2.6,3.3
pohang00,6000,-0.1,2.7,3.25
pohang00,6100,-0.1,2.5,3.45
pohang00,6200,-0.2,2.5,3.35
pohang00,6300,-0.1,2.7,3.5
pohang00,6400,-0.1,2.7,3.05
pohang00,6500,0.2,2.6,3.05
pohang00,6700,-0.2,2.6,3.5
pohang00,6800,-0.0,2.6,2.95
pohang00,6900,-0.2,2.6,2.95
pohang00,7000,0.2,2.6,3.4
pohang00,7100,0.2,2.6,3.25
pohang00,7200,0.2,2.6,3.2
pohang00,7300,0.2,2.6,3.2
pohang00,7400,0.2,2.9,3.0
pohang00,7500,-0.2,2.7,2.9
pohang00,7600,-0.2,2.7,2.9
pohang00,7700,-0.2,2.6,3.35
pohang00,8000,-0.7,2.7,3.0
pohang00,8100,-0.3,2.9,2.8
pohang00,8200,-0.2,2.5,3.0
pohang00,8300,-0.7,2.6,3.0
pohang00,8400,-0.6,2.7,3.25
pohang00,8500,-0.6,2.4,3.3
pohang00,8600,-0.6,2.8,3.15
pohang00,8700,-0.2,2.1,3.0
pohang00,8900,-0.4,2.4,3.0
pohang00,9000,-0.6,2.4,3.15
pohang00,9100,-0.6,2.7,3.05
pohang00,9200,-0.6,2.9,3.0
pohang00,9300,-0.6,2.5,3.0
pohang00,9400,-0.6,2.8,3.0
pohang00,9500,-0.1,2.6,3.0
pohang00,9600,-0.8,2.7,3.0
pohang00,9800,-0.2,2.6,3.0
pohang00,9900,-0.2,2.6,3.15
pohang00,10000,-0.4,2.8,3.0
pohang00,10100,-0.1,2.7,3.0
pohang00,10200,-0.3,2.4,3.0
pohang00,10300,-0.3,2.4,3.0
pohang00,10400,-0.6,2.6,3.0
pohang00,10700,-0.4,2.4,3.1
pohang00,10800,-1.2,1.9,3.2
pohang00,11000,-2.2,3.0,3.2
pohang00,11100,-0.2,2.0,2.9
pohang00,11300,-1.0,2.4,2.75
pohang00,11400,-0.4,2.3,3.0
pohang00,11500,-0.3,2.5,3.0
pohang00,11600,-0.1,3.0,3.0
pohang00,11700,-0.4,1.9,3.0
pohang00,11800,-0.5,2.9,3.0
pohang00,11900,0.5,2.6,3.2
pohang00,12000,0.1,3.0,3.0
pohang00,12200,-0.3,2.3,3.3
pohang00,12300,-0.6,2.7,3.0
pohang00,12400,-0.1,2.7,2.8
pohang00,12500,-0.1,3.5,3.1
pohang00,12700,-0.4,3.3,3.25
pohang00,12900,0.1,3.3,2.95
pohang00,13000,-0.8,2.8,3.0
pohang00,13100,-0.6,2.5,3.25
pohang00,13300,-0.6,2.5,3.0
pohang00,13400,-0.2,2.5,3.0
pohang00,13500,-0.2,2.8,3.0
pohang00,13600,-1.6,3.7,3.0
pohang00,13700,-0.2,2.9,3.0
pohang00,13800,0.1,2.1,3.0
pohang00,13900,1.8,2.3,3.0
pohang00,14000,0.6,2.9,3.25
pohang00,14100,-1.1,2.9,3.0
pohang00,14200,-0.6,2.8,3.0
pohang00,14300,-0.4,3.3,3.0
pohang00,15100,-1.2,6.0,2.85
pohang00,15200,-1.2,5.9,2.75
pohang00,15300,0.9,6.0,3.0
pohang00,15400,-1.6,5.4,3.15
pohang00,15500,-0.1,6.4,3.0
pohang00,15600,-0.4,6.6,3.0
pohang00,15800,-1.3,5.2,3.0
pohang00,15900,-0.7,4.8,3.5
pohang00,16100,0.1,5.3,3.0
